"","KEYWORD","CATEGORY"
"1","MACHINE LEARNING","T_GENERAL"
"2","ANALYSIS","T_GENERAL"
"3","STATISTICS","T_GENERAL"
"4","COMPUTER SCIENCE","T_GENERAL"
"5","MATHEMATICS","T_GENERAL"
"6","VISUALIZATION","T_GENERAL"
"7","AI COMPOSITE","T_GENERAL"
"8","DEEP LEARNING","T_GENERAL"
"9","NLP COMPOSITE","T_GENERAL"
"10","SOFTWARE DEVELOPMENT","T_GENERAL"
"11","NEURAL NETWORKS","T_GENERAL"
"12","DATA ENGINEERING","T_GENERAL"
"13","SOFTWARE ENGINEERING","T_GENERAL"
"14","AI","T_GENERAL"
"15","ARTIFICIAL INTELLIGENCE","T_GENERAL"
"16","AI + ARTIFICIAL INTELLIGENCE","T_GENERAL"
"17","NLP","T_GENERAL"
"18","NATURAL LANGUAGE PROCESSING","T_GENERAL"
"19","NLP + NATURAL LANGUAGE PROCESSING","T_GENERAL"
"20","PYTHON","T_SOFTWARE"
"21","R","T_SOFTWARE"
"22","SQL","T_SOFTWARE"
"23","SPARK","T_SOFTWARE"
"24","HADOOP","T_SOFTWARE"
"25","JAVA ","T_SOFTWARE"
"26","SAS","T_SOFTWARE"
"27","TABLEAU","T_SOFTWARE"
"28","HIVE","T_SOFTWARE"
"29","SCALA","T_SOFTWARE"
"30","C++","T_SOFTWARE"
"31","AWS","T_SOFTWARE"
"32","TENSORFLOW","T_SOFTWARE"
"33","MATLAB","T_SOFTWARE"
"34","C","T_SOFTWARE"
"35","EXCEL","T_SOFTWARE"
"36","LINUX","T_SOFTWARE"
"37","NOSQL","T_SOFTWARE"
"38","AZURE","T_SOFTWARE"
"39","SCIKIT-LEARN","T_SOFTWARE"
"40","SPSS","T_SOFTWARE"
"41","PANDAS","T_SOFTWARE"
"42","NUMPY","T_SOFTWARE"
"43","PIG","T_SOFTWARE"
"44","D3","T_SOFTWARE"
"45","KERAS","T_SOFTWARE"
"46","JAVASCRIPT","T_SOFTWARE"
"47","C#","T_SOFTWARE"
"48","PERL","T_SOFTWARE"
"49","HBASE","T_SOFTWARE"
"50","DOCKER","T_SOFTWARE"
"51","GIT","T_SOFTWARE"
"52","MYSQL","T_SOFTWARE"
"53","MONGODB","T_SOFTWARE"
"54","CASSANDRA","T_SOFTWARE"
"55","PYTORCH","T_SOFTWARE"
"56","CAFFE","T_SOFTWARE"
